#indeks,pokrycie,licznosc
1,0,190
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,4
9,8,2
10,9,13
11,10,5
12,11,51
13,12,5
14,13,2
15,14,2
16,15,0
17,16,1
18,17,0
19,18,2
20,19,4
21,20,8
22,21,4
23,22,2
24,23,24
25,24,5
26,25,5
27,26,3
28,27,30
29,28,2
30,29,41
31,30,23
32,31,16
33,32,6
34,33,7
35,34,2
36,35,0
37,36,0
38,37,0
39,38,0
40,39,0
41,40,0
42,41,0
43,42,0
44,43,0
45,44,0
46,45,0
47,46,0
48,47,0
49,48,0
50,49,0
51,50,0
52,51,0
53,52,0
54,53,0
55,54,0
56,55,0
57,56,0
58,57,0
59,58,0
60,59,0
61,60,0
62,61,0
63,62,0
64,63,0
65,64,0
66,65,0
67,66,0
68,67,0
69,68,0
70,69,0
71,70,0
72,71,0
73,72,0
74,73,0
75,74,0
76,75,0
77,76,0
78,77,0
79,78,0
80,79,0
81,80,0
82,81,0
83,82,0
84,83,0
85,84,0
86,85,0
87,86,0
88,87,0
89,88,0
90,89,0
91,90,0
92,91,0
93,92,0
94,93,0
95,94,0
96,95,0
97,96,0
98,97,0
99,98,0
100,99,0
101,100,0
102,101,1
103,102,0
104,103,0
105,104,0
106,105,0
107,106,0
108,107,0
109,108,0
110,109,0
111,110,0
112,111,0
113,112,0
114,113,0
115,114,0
116,115,0
117,116,0
118,117,0
119,118,0
120,119,0
121,120,0
122,121,0
123,122,0
124,123,0
125,124,0
126,125,0
127,126,0
128,127,0
129,128,0
130,129,0
131,130,0
132,131,0
133,132,0
134,133,0
135,134,0
136,135,0
137,136,0
138,137,0
139,138,0
140,139,0
141,140,0
142,141,0
143,142,0
144,143,0
145,144,0
146,145,0
147,146,0
148,147,0
149,148,0
150,149,0
151,150,0
152,151,0
153,152,0
154,153,0
155,154,0
156,155,0
157,156,0
158,157,0
159,158,0
160,159,0
161,160,0
162,161,0
163,162,0
164,163,0
165,164,0
166,165,0
167,166,0
168,167,0
169,168,0
170,169,0
171,170,0
172,171,0
173,172,0
174,173,0
175,174,0
176,175,0
177,176,0
178,177,0
179,178,0
180,179,0
181,180,0
182,181,1
183,182,3
184,183,10
185,184,9
186,185,2
187,186,14
188,187,9
189,188,5
190,189,14
191,190,14
192,191,13
193,192,9
194,193,11
195,194,8
196,195,4
197,196,4
198,197,3
199,198,6
200,199,4
201,200,12
202,201,5
203,202,9
204,203,9
205,204,8
206,205,9
207,206,5
208,207,3
209,208,9
210,209,3
211,210,5
212,211,4
213,212,3
214,213,6
215,214,3
216,215,1
217,216,1
218,217,1
219,218,4
220,219,1
221,220,3
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,5
229,228,0
230,229,0
231,230,5
232,231,0
233,232,2
234,233,2
235,234,4
236,235,5
237,236,2
238,237,5
239,238,6
240,239,6
241,240,1
242,241,7
243,242,6
244,243,5
245,244,2
246,245,4
247,246,13
248,247,8
249,248,14
250,249,16
251,250,14412
