strain	country	city	date	virus	subtype
EPI_ISL_19685832	Spain	Barcelona	2025-01-12	RSV	A
EPI_ISL_19685833	Spain	Barcelona	2025-01-11	RSV	A
EPI_ISL_19685836	Spain	Barcelona	2025-01-06	RSV	A
EPI_ISL_19687296	Spain	Barcelona	2025-01-03	RSV	A
EPI_ISL_19687297	Spain	Barcelona	2025-01-03	RSV	A
EPI_ISL_19687298	Spain	Barcelona	2025-01-06	RSV	A
EPI_ISL_19687299	Spain	Barcelona	2025-01-06	RSV	A
EPI_ISL_19689070	Spain	Barcelona	2025-01-04	RSV	A
EPI_ISL_19689072	Spain	Barcelona	2025-01-05	RSV	A
EPI_ISL_19693731	Spain	Barcelona	2025-01-09	RSV	A
EPI_ISL_19693732	Spain	Barcelona	2025-01-14	RSV	A
EPI_ISL_19693741	Spain	Barcelona	2025-01-14	RSV	A
EPI_ISL_19693743	Spain	Barcelona	2025-01-12	RSV	A
EPI_ISL_19693744	Spain	Barcelona	2025-01-12	RSV	A
EPI_ISL_19693745	Spain	Barcelona	2025-01-16	RSV	A
EPI_ISL_19709602	Spain	Barcelona	2025-01-16	RSV	A
EPI_ISL_19725090	Ireland	Dublin	2025-01-07	RSV	A
EPI_ISL_19725092	Ireland	Dublin	2025-01-06	RSV	A
EPI_ISL_19725390	Spain	Madrid	2025-01-04	RSV	A
