#indeks,segment,pozycja,pokrycie
1,hRSV/A/England/397/2017,1,0
2,hRSV/A/England/397/2017,2,0
3,hRSV/A/England/397/2017,3,0
4,hRSV/A/England/397/2017,4,0
5,hRSV/A/England/397/2017,5,0
6,hRSV/A/England/397/2017,6,0
7,hRSV/A/England/397/2017,7,0
8,hRSV/A/England/397/2017,8,0
9,hRSV/A/England/397/2017,9,0
10,hRSV/A/England/397/2017,10,0
11,hRSV/A/England/397/2017,11,0
12,hRSV/A/England/397/2017,12,0
13,hRSV/A/England/397/2017,13,0
14,hRSV/A/England/397/2017,14,0
15,hRSV/A/England/397/2017,15,0
16,hRSV/A/England/397/2017,16,0
17,hRSV/A/England/397/2017,17,0
18,hRSV/A/England/397/2017,18,0
19,hRSV/A/England/397/2017,19,0
20,hRSV/A/England/397/2017,20,0
21,hRSV/A/England/397/2017,21,0
22,hRSV/A/England/397/2017,22,0
23,hRSV/A/England/397/2017,23,0
24,hRSV/A/England/397/2017,24,0
25,hRSV/A/England/397/2017,25,0
26,hRSV/A/England/397/2017,26,0
27,hRSV/A/England/397/2017,27,0
28,hRSV/A/England/397/2017,28,0
29,hRSV/A/England/397/2017,29,0
30,hRSV/A/England/397/2017,30,0
31,hRSV/A/England/397/2017,31,0
32,hRSV/A/England/397/2017,32,0
33,hRSV/A/England/397/2017,33,0
34,hRSV/A/England/397/2017,34,0
35,hRSV/A/England/397/2017,35,0
36,hRSV/A/England/397/2017,36,0
37,hRSV/A/England/397/2017,37,0
38,hRSV/A/England/397/2017,38,0
39,hRSV/A/England/397/2017,39,0
40,hRSV/A/England/397/2017,40,0
41,hRSV/A/England/397/2017,41,0
42,hRSV/A/England/397/2017,42,0
43,hRSV/A/England/397/2017,43,0
44,hRSV/A/England/397/2017,44,0
45,hRSV/A/England/397/2017,45,0
46,hRSV/A/England/397/2017,46,0
47,hRSV/A/England/397/2017,47,0
48,hRSV/A/England/397/2017,48,0
49,hRSV/A/England/397/2017,49,0
50,hRSV/A/England/397/2017,50,0
51,hRSV/A/England/397/2017,51,0
52,hRSV/A/England/397/2017,52,0
53,hRSV/A/England/397/2017,53,0
54,hRSV/A/England/397/2017,54,0
55,hRSV/A/England/397/2017,55,0
56,hRSV/A/England/397/2017,56,0
57,hRSV/A/England/397/2017,57,0
58,hRSV/A/England/397/2017,58,0
59,hRSV/A/England/397/2017,59,0
60,hRSV/A/England/397/2017,60,0
61,hRSV/A/England/397/2017,61,0
62,hRSV/A/England/397/2017,62,0
63,hRSV/A/England/397/2017,63,0
64,hRSV/A/England/397/2017,64,0
65,hRSV/A/England/397/2017,65,0
66,hRSV/A/England/397/2017,66,0
67,hRSV/A/England/397/2017,67,0
68,hRSV/A/England/397/2017,68,0
69,hRSV/A/England/397/2017,69,0
70,hRSV/A/England/397/2017,70,0
71,hRSV/A/England/397/2017,71,0
72,hRSV/A/England/397/2017,72,0
73,hRSV/A/England/397/2017,73,0
74,hRSV/A/England/397/2017,74,0
75,hRSV/A/England/397/2017,75,0
76,hRSV/A/England/397/2017,76,0
77,hRSV/A/England/397/2017,77,0
78,hRSV/A/England/397/2017,78,0
79,hRSV/A/England/397/2017,79,0
80,hRSV/A/England/397/2017,80,0
81,hRSV/A/England/397/2017,81,0
82,hRSV/A/England/397/2017,82,296
83,hRSV/A/England/397/2017,83,320
84,hRSV/A/England/397/2017,84,324
85,hRSV/A/England/397/2017,85,325
86,hRSV/A/England/397/2017,86,325
87,hRSV/A/England/397/2017,87,357
88,hRSV/A/England/397/2017,88,358
89,hRSV/A/England/397/2017,89,400
90,hRSV/A/England/397/2017,90,417
91,hRSV/A/England/397/2017,91,420
92,hRSV/A/England/397/2017,92,452
93,hRSV/A/England/397/2017,93,465
94,hRSV/A/England/397/2017,94,507
95,hRSV/A/England/397/2017,95,507
96,hRSV/A/England/397/2017,96,510
97,hRSV/A/England/397/2017,97,510
98,hRSV/A/England/397/2017,98,539
99,hRSV/A/England/397/2017,99,543
100,hRSV/A/England/397/2017,100,544
101,hRSV/A/England/397/2017,101,548
102,hRSV/A/England/397/2017,102,548
103,hRSV/A/England/397/2017,103,552
104,hRSV/A/England/397/2017,104,552
105,hRSV/A/England/397/2017,105,560
106,hRSV/A/England/397/2017,106,576
107,hRSV/A/England/397/2017,107,586
108,hRSV/A/England/397/2017,108,602
109,hRSV/A/England/397/2017,109,606
110,hRSV/A/England/397/2017,110,606
111,hRSV/A/England/397/2017,111,606
112,hRSV/A/England/397/2017,112,607
113,hRSV/A/England/397/2017,113,609
114,hRSV/A/England/397/2017,114,611
115,hRSV/A/England/397/2017,115,623
116,hRSV/A/England/397/2017,116,629
117,hRSV/A/England/397/2017,117,632
118,hRSV/A/England/397/2017,118,639
119,hRSV/A/England/397/2017,119,640
120,hRSV/A/England/397/2017,120,642
121,hRSV/A/England/397/2017,121,644
122,hRSV/A/England/397/2017,122,648
123,hRSV/A/England/397/2017,123,649
124,hRSV/A/England/397/2017,124,649
125,hRSV/A/England/397/2017,125,651
126,hRSV/A/England/397/2017,126,660
127,hRSV/A/England/397/2017,127,665
128,hRSV/A/England/397/2017,128,668
129,hRSV/A/England/397/2017,129,668
130,hRSV/A/England/397/2017,130,677
131,hRSV/A/England/397/2017,131,689
132,hRSV/A/England/397/2017,132,689
133,hRSV/A/England/397/2017,133,692
134,hRSV/A/England/397/2017,134,742
135,hRSV/A/England/397/2017,135,742
136,hRSV/A/England/397/2017,136,747
137,hRSV/A/England/397/2017,137,752
138,hRSV/A/England/397/2017,138,752
139,hRSV/A/England/397/2017,139,757
140,hRSV/A/England/397/2017,140,758
141,hRSV/A/England/397/2017,141,783
142,hRSV/A/England/397/2017,142,786
143,hRSV/A/England/397/2017,143,786
144,hRSV/A/England/397/2017,144,788
145,hRSV/A/England/397/2017,145,788
146,hRSV/A/England/397/2017,146,792
147,hRSV/A/England/397/2017,147,793
148,hRSV/A/England/397/2017,148,796
149,hRSV/A/England/397/2017,149,796
150,hRSV/A/England/397/2017,150,796
151,hRSV/A/England/397/2017,151,796
152,hRSV/A/England/397/2017,152,801
153,hRSV/A/England/397/2017,153,829
154,hRSV/A/England/397/2017,154,829
155,hRSV/A/England/397/2017,155,835
156,hRSV/A/England/397/2017,156,840
157,hRSV/A/England/397/2017,157,838
158,hRSV/A/England/397/2017,158,869
159,hRSV/A/England/397/2017,159,869
160,hRSV/A/England/397/2017,160,873
161,hRSV/A/England/397/2017,161,875
162,hRSV/A/England/397/2017,162,871
163,hRSV/A/England/397/2017,163,875
164,hRSV/A/England/397/2017,164,877
165,hRSV/A/England/397/2017,165,879
166,hRSV/A/England/397/2017,166,881
167,hRSV/A/England/397/2017,167,893
168,hRSV/A/England/397/2017,168,895
169,hRSV/A/England/397/2017,169,905
170,hRSV/A/England/397/2017,170,905
171,hRSV/A/England/397/2017,171,903
172,hRSV/A/England/397/2017,172,905
173,hRSV/A/England/397/2017,173,905
174,hRSV/A/England/397/2017,174,903
175,hRSV/A/England/397/2017,175,907
176,hRSV/A/England/397/2017,176,890
177,hRSV/A/England/397/2017,177,901
178,hRSV/A/England/397/2017,178,920
179,hRSV/A/England/397/2017,179,924
180,hRSV/A/England/397/2017,180,934
181,hRSV/A/England/397/2017,181,935
182,hRSV/A/England/397/2017,182,939
183,hRSV/A/England/397/2017,183,939
184,hRSV/A/England/397/2017,184,938
185,hRSV/A/England/397/2017,185,936
186,hRSV/A/England/397/2017,186,929
187,hRSV/A/England/397/2017,187,935
188,hRSV/A/England/397/2017,188,940
189,hRSV/A/England/397/2017,189,946
190,hRSV/A/England/397/2017,190,950
191,hRSV/A/England/397/2017,191,948
192,hRSV/A/England/397/2017,192,957
193,hRSV/A/England/397/2017,193,958
194,hRSV/A/England/397/2017,194,965
195,hRSV/A/England/397/2017,195,963
196,hRSV/A/England/397/2017,196,959
197,hRSV/A/England/397/2017,197,957
198,hRSV/A/England/397/2017,198,957
199,hRSV/A/England/397/2017,199,957
200,hRSV/A/England/397/2017,200,960
201,hRSV/A/England/397/2017,201,942
202,hRSV/A/England/397/2017,202,965
203,hRSV/A/England/397/2017,203,967
204,hRSV/A/England/397/2017,204,978
205,hRSV/A/England/397/2017,205,979
206,hRSV/A/England/397/2017,206,975
207,hRSV/A/England/397/2017,207,980
208,hRSV/A/England/397/2017,208,982
209,hRSV/A/England/397/2017,209,968
210,hRSV/A/England/397/2017,210,970
211,hRSV/A/England/397/2017,211,932
212,hRSV/A/England/397/2017,212,932
213,hRSV/A/England/397/2017,213,927
214,hRSV/A/England/397/2017,214,929
215,hRSV/A/England/397/2017,215,902
216,hRSV/A/England/397/2017,216,889
217,hRSV/A/England/397/2017,217,892
218,hRSV/A/England/397/2017,218,896
219,hRSV/A/England/397/2017,219,894
220,hRSV/A/England/397/2017,220,878
221,hRSV/A/England/397/2017,221,847
222,hRSV/A/England/397/2017,222,846
223,hRSV/A/England/397/2017,223,843
224,hRSV/A/England/397/2017,224,846
225,hRSV/A/England/397/2017,225,836
226,hRSV/A/England/397/2017,226,830
227,hRSV/A/England/397/2017,227,817
228,hRSV/A/England/397/2017,228,778
229,hRSV/A/England/397/2017,229,777
230,hRSV/A/England/397/2017,230,776
231,hRSV/A/England/397/2017,231,761
232,hRSV/A/England/397/2017,232,792
233,hRSV/A/England/397/2017,233,793
234,hRSV/A/England/397/2017,234,795
235,hRSV/A/England/397/2017,235,779
236,hRSV/A/England/397/2017,236,750
237,hRSV/A/England/397/2017,237,725
238,hRSV/A/England/397/2017,238,728
239,hRSV/A/England/397/2017,239,761
240,hRSV/A/England/397/2017,240,744
241,hRSV/A/England/397/2017,241,703
242,hRSV/A/England/397/2017,242,694
243,hRSV/A/England/397/2017,243,701
244,hRSV/A/England/397/2017,244,701
245,hRSV/A/England/397/2017,245,711
246,hRSV/A/England/397/2017,246,699
247,hRSV/A/England/397/2017,247,695
248,hRSV/A/England/397/2017,248,696
249,hRSV/A/England/397/2017,249,696
250,hRSV/A/England/397/2017,250,698
251,hRSV/A/England/397/2017,251,700
252,hRSV/A/England/397/2017,252,684
253,hRSV/A/England/397/2017,253,685
254,hRSV/A/England/397/2017,254,679
255,hRSV/A/England/397/2017,255,677
256,hRSV/A/England/397/2017,256,665
257,hRSV/A/England/397/2017,257,666
258,hRSV/A/England/397/2017,258,666
259,hRSV/A/England/397/2017,259,666
260,hRSV/A/England/397/2017,260,668
261,hRSV/A/England/397/2017,261,669
262,hRSV/A/England/397/2017,262,665
263,hRSV/A/England/397/2017,263,651
264,hRSV/A/England/397/2017,264,645
265,hRSV/A/England/397/2017,265,636
266,hRSV/A/England/397/2017,266,638
267,hRSV/A/England/397/2017,267,641
268,hRSV/A/England/397/2017,268,639
269,hRSV/A/England/397/2017,269,639
270,hRSV/A/England/397/2017,270,634
271,hRSV/A/England/397/2017,271,692
272,hRSV/A/England/397/2017,272,694
273,hRSV/A/England/397/2017,273,738
274,hRSV/A/England/397/2017,274,737
275,hRSV/A/England/397/2017,275,738
276,hRSV/A/England/397/2017,276,749
277,hRSV/A/England/397/2017,277,751
278,hRSV/A/England/397/2017,278,757
279,hRSV/A/England/397/2017,279,751
280,hRSV/A/England/397/2017,280,710
281,hRSV/A/England/397/2017,281,709
282,hRSV/A/England/397/2017,282,670
283,hRSV/A/England/397/2017,283,679
284,hRSV/A/England/397/2017,284,676
285,hRSV/A/England/397/2017,285,668
286,hRSV/A/England/397/2017,286,670
287,hRSV/A/England/397/2017,287,690
288,hRSV/A/England/397/2017,288,689
289,hRSV/A/England/397/2017,289,674
290,hRSV/A/England/397/2017,290,670
291,hRSV/A/England/397/2017,291,682
